veckonummer,Kommun_stadsdel,tot_antal_fall_per10000inv,antal_fall_per10000_inv,tot_antal_fall,nya_fall_vecka
8,Bromölla,0,0,0,0
8,Bräcke,0,0,0,0
8,Burlöv,0,0,0,0
8,Båstad,0,0,0,0
8,Dals-Ed,0,0,0,0
8,Danderyd,0,0,0,0
8,Degerfors,0,0,0,0
8,Dorotea,0,0,0,0
8,Eda,0,0,0,0
8,Ekerö,0,0,0,0
8,Eksjö,0,0,0,0
8,Emmaboda,0,0,0,0
8,Enköping,0,0,0,0
8,Eskilstuna,0,0,0,0
8,Eslöv,0,0,0,0
8,Essunga,0,0,0,0
8,Fagersta,0,0,0,0
8,Falkenberg,0,0,0,0
8,Falköping,0,0,0,0
8,Falun,0,0,0,0
8,Filipstad,0,0,0,0
8,Finspång,0,0,0,0
8,Flen,0,0,0,0
8,Forshaga,0,0,0,0
8,Färgelanda,0,0,0,0
8,Gagnef,0,0,0,0
8,Gislaved,0,0,0,0
8,Gnesta,0,0,0,0
8,Gnosjö,0,0,0,0
8,Gotland,0,0,0,0
8,Grums,0,0,0,0
8,Grästorp,0,0,0,0
8,Gullspång,0,0,0,0
8,Gällivare,0,0,0,0
8,Gävle,0,0,0,0
8,Göteborg Östra Göteborg,0,0,0,0
8,Göteborg Centrum,0,0,0,0
8,Göteborg Västra Hisingen,0,0,0,0
8,Göteborg Askim-Frölunda-Högsbo,0,0,0,0
8,Gbg Angered,0,0,0,0
8,Göteborg Norra Hisingen,0,0,0,0
8,Göteborg Örgryte-Härlanda,0,0,0,0
8,Göteborg Lundby,0,0,0,0
8,Göteborg Majorna-Linné,0,0,0,0
8,Göteborg Västra Göteborg,0,0,0,0
8,Götene,0,0,0,0
8,Habo,0,0,0,0
8,Hagfors,0,0,0,0
8,Hallsberg,0,0,0,0
8,Hallstahammar,0,0,0,0
8,Halmstad,0,0,0,0
8,Hammarö,0,0,0,0
8,Haninge,0,0,0,0
8,Haparanda,0,0,0,0
8,Heby,0,0,0,0
8,Hedemora,0,0,0,0
8,Helsingborg,0,0,0,0
8,Herrljunga,0,0,0,0
8,Hjo,0,0,0,0
8,Hofors,0,0,0,0
8,Huddinge,0,0,0,0
8,Hudiksvall,0,0,0,0
8,Hultsfred,0,0,0,0
8,Hylte,0,0,0,0
8,Håbo,0,0,0,0
8,Hällefors,0,0,0,0
8,Härjedalen,0,0,0,0
8,Härnösand,0,0,0,0
8,Härryda,0,0,0,0
8,Hässleholm,0,0,0,0
8,Höganäs,0,0,0,0
8,Högsby,0,0,0,0
8,Hörby,0,0,0,0
8,Höör,0,0,0,0
8,Jokkmokk,0,0,0,0
8,Järfälla,0,0,0,0
8,Jönköping,,,<15,<15
8,Kalix,0,0,0,0
8,Kalmar,0,0,0,0
8,Karlsborg,0,0,0,0
8,Karlshamn,0,0,0,0
8,Karlskoga,0,0,0,0
8,Karlskrona,0,0,0,0
8,Karlstad,0,0,0,0
8,Katrineholm,0,0,0,0
8,Kil,0,0,0,0
8,Kinda,0,0,0,0
8,Kiruna,0,0,0,0
8,Klippan,0,0,0,0
8,Knivsta,0,0,0,0
8,Kramfors,0,0,0,0
8,Kristianstad,0,0,0,0
8,Kristinehamn,0,0,0,0
8,Krokom,0,0,0,0
8,Kumla,0,0,0,0
8,Kungsbacka,0,0,0,0
8,Kungsör,0,0,0,0
8,Kungälv,0,0,0,0
8,Kävlinge,0,0,0,0
8,Köping,0,0,0,0
8,Laholm,0,0,0,0
8,Landskrona,0,0,0,0
8,Laxå,0,0,0,0
8,Lekeberg,0,0,0,0
8,Leksand,0,0,0,0
8,Lerum,0,0,0,0
8,Lessebo,0,0,0,0
8,Lidingö,0,0,0,0
8,Lidköping,0,0,0,0
8,Lilla Edet,0,0,0,0
8,Lindesberg,0,0,0,0
8,Linköping,0,0,0,0
8,Ljungby,0,0,0,0
8,Ljusdal,0,0,0,0
8,Ljusnarsberg,0,0,0,0
8,Lomma,0,0,0,0
8,Ludvika,0,0,0,0
8,Luleå,0,0,0,0
8,Lund,0,0,0,0
8,Lycksele,0,0,0,0
8,Lysekil,0,0,0,0
8,Malmö Rosengård,0,0,0,0
8,Malmö Hyllie,0,0,0,0
8,Malmö Södra Innerstaden,0,0,0,0
8,Malmö Oxie,0,0,0,0
8,Malmö kommun Centrum,0,0,0,0
8,Malmö Husie,0,0,0,0
8,Malmö Fosie,0,0,0,0
8,Malmös kmn Kirseberg,0,0,0,0
8,Malmö Västra Innerstaden,0,0,0,0
8,Malmö Limhamn-Bunkeflo,0,0,0,0
8,Malung,0,0,0,0
8,Malå,0,0,0,0
8,Mariestad,0,0,0,0
